Rank,Player Name,Team,Position,Adjusted Value,Projected Points,Value
50,Zay Jones,JAC,WR,$2 ,160,$1 
51,Rashod Bateman,BAL,WR,$2 ,171.5,$1 
52,Zay Flowers,BAL,WR,$1 ,131.8,$0 
53,Adam Thielen,CAR,WR,$1 ,133.9,$0 
54,Allen Lazard,NYJ,WR,$1 ,163.8,$0 
55,Hunter Renfrow,LV,WR,$1 ,132.6,$0 
56,Romeo Doubs,GB,WR,$1 ,143.9,$0 
57,Darnell Mooney,CHI,WR,$1 ,149.7,$0 
58,Quentin Johnston,LAC,WR,$1 ,138.5,$0 
59,Marquez Valdes-Scantling,KC,WR,$1 ,126.1,$0 
60,Jonathan Mingo,CAR,WR,$1 ,118.5,$0 
61,DeVante Parker,NE,WR,$1 ,144.6,$0 
62,Curtis Samuel,WAS,WR,$1 ,142.6,$0 
63,Donovan Peoples-Jones,CLE,WR,$1 ,152.9,$0 
64,DJ Chark,CAR,WR,$1 ,137.6,$0 
65,Isaiah Hodgins,NYG,WR,$1 ,124.2,$0 
66,Jameson Williams,DET,WR,$1 ,104.6,$0 
67,Robert Woods,HOU,WR,$1 ,112.2,$0 
68,K.J. Osborn,MIN,WR,$1 ,131,$0 
69,Michael Gallup,DAL,WR,$1 ,111.7,$0 
70,Skyy Moore,KC,WR,$1 ,179.8,$0 
71,Van Jefferson,LAR,WR,$1 ,139,$0 
72,Russell Gage,TB,WR,$1 ,86.2,$0 
73,Elijah Moore,CLE,WR,$1 ,188.1,$0 
74,Greg Dortch,ARI,WR,$1 ,112,$0 
75,John Metchie,HOU,WR,$1 ,137.6,$0 
76,Jayden Reed,GB,WR,$1 ,157.2,$0 
77,Rashid Shaheed,NO,WR,$1 ,130.5,$0 
78,Odell Beckham,BAL,WR,$1 ,151.4,$0 
79,Darius Slayton,NYG,WR,$1 ,76.5,$0 
80,Allen Robinson,PIT,WR,$1 ,79.1,$0 
1,Travis Kelce,KC,TE,$49 ,314.7,$48 
2,Mark Andrews,BAL,TE,$24 ,243.3,$23 
3,T.J. Hockenson,MIN,TE,$23 ,209.1,$22 
4,George Kittle,SF,TE,$16 ,184.5,$15 
5,Dallas Goedert,PHI,TE,$13 ,161.6,$12 
6,Darren Waller,NYG,TE,$12 ,183.3,$11 
7,Kyle Pitts,ATL,TE,$11 ,176.4,$10 
8,Evan Engram,JAC,TE,$9 ,158.7,$8 
9,Pat Freiermuth,PIT,TE,$6 ,157.9,$6 
10,Dalton Schultz,HOU,TE,$5 ,157.6,$4 
11,David Njoku,CLE,TE,$2 ,152.5,$4 
12,Tyler Higbee,LAR,TE,$2 ,157.8,$4 
13,Greg Dulcich,DEN,TE,$2 ,150,$3 
14,Chigoziem Okonkwo,TEN,TE,$1 ,141,$3 
15,Gerald Everett,LAC,TE,$1 ,142.3,$2 
16,Cole Kmet,CHI,TE,$1 ,134,$1 
17,Juwan Johnson,NO,TE,$1 ,124.2,$0 
